dim,dim_cn,decile,H,n,n_day,mean,median,exw,t,win,payoff,pf,p10,p90,nav_cagr,nav_mdd,nav_sharpe,nav_ann_arith,avg_holdings
ret10,过去10日涨幅,7,1,1050747,2860,0.0008543927571511511,0.0,0.0002604734381697348,4.59716153657219,0.4824225051320632,1.1050410546382432,1.0902011871459623,-0.028746666014194483,0.030575552955269814,0.20100661464055536,-0.49888279098447474,0.7520005625922825,0.23048444381751987,367.39405594405594
ret10,过去10日涨幅,7,5,1048627,2856,0.0038194923632953624,0.0,0.0006591482166382494,4.418231093941426,0.4948184626182618,1.18009660607275,1.1844428502658315,-0.06370369344949722,0.07267688065767289,0.20100661464055536,-0.49888279098447474,0.7520005625922825,0.23048444381751987,367.39405594405594
ret10,过去10日涨幅,7,10,1045976,2851,0.007318811806163693,0.0006322932022158056,0.0008089275887764282,3.676641369144096,0.5010927592984925,1.227495079548538,1.2534791385730881,-0.08970389515161514,0.10632909461855888,0.20100661464055536,-0.49888279098447474,0.7520005625922825,0.23048444381751987,367.39405594405594
ret10,过去10日涨幅,7,20,1040685,2841,0.013162268510552542,0.0,7.606472656876737e-05,0.243924405384549,0.4968179612466789,1.328164122633544,1.3252267555089166,-0.12570717036724088,0.15823921263217924,0.20100661464055536,-0.49888279098447474,0.7520005625922825,0.23048444381751987,367.39405594405594
ret10,过去10日涨幅,8,1,1050343,2860,0.0008103608961095561,0.0,0.0001853500938385519,2.566193194242766,0.47641675148023077,1.1286684146037556,1.079009083023615,-0.031018195673823357,0.03313606157898903,0.1788785957087189,-0.5308630060870937,0.6930907131688528,0.21162589408096638,367.2527972027972
ret10,过去10日涨幅,8,5,1048223,2856,0.0034312696388122134,-0.0007610453176312149,8.360918527250436e-05,0.4494013137930025,0.4869841627211004,1.190864474032714,1.1543941859123832,-0.06839912533760069,0.07671723663806922,0.1788785957087189,-0.5308630060870937,0.6930907131688528,0.21162589408096638,367.2527972027972
ret10,过去10日涨幅,8,10,1045574,2851,0.006406152432714062,-0.0007547460845671594,-0.0004024299655897634,-1.4529298990012813,0.49099442028971646,1.232661828574846,1.2064470314098774,-0.09559716060757636,0.11089474931359296,0.1788785957087189,-0.5308630060870937,0.6930907131688528,0.21162589408096638,367.2527972027972
ret10,过去10日涨幅,8,20,1040281,2841,0.011257979067342385,-0.002897239988669753,-0.002118039949054247,-5.650433113347383,0.4859187085027988,1.3180717656518917,1.257580086640807,-0.1340579241514206,0.16407983005046844,0.1788785957087189,-0.5308630060870937,0.6930907131688528,0.21162589408096638,367.2527972027972
ret10,过去10日涨幅,9,1,1050588,2860,0.0005896184771743351,-0.0012018228881061077,-6.526807640866119e-05,-0.6286009278745632,0.4680179099704166,1.1482306838695588,1.0501630138475082,-0.035314131900668136,0.037628268077969554,0.10604212138469515,-0.6035584932325517,0.482146109997183,0.1487120908903468,367.33846153846156
ret10,过去10日涨幅,9,5,1048470,2856,0.0023582905734504506,-0.0030211415141820908,-0.0011735273749687955,-4.746600837089804,0.47184278043243966,1.2033963036073756,1.0933884473761826,-0.07696171775460244,0.08343388736248011,0.10604212138469515,-0.6035584932325517,0.482146109997183,0.1487120908903468,367.33846153846156
ret10,过去10日涨幅,9,10,1045816,2851,0.004404981709978252,-0.004285707836970687,-0.0026443433296375585,-7.418622126783736,0.47407192087327027,1.2337556673329217,1.124950463578192,-0.10701858624815941,0.11947976425290108,0.10604212138469515,-0.6035584932325517,0.482146109997183,0.1487120908903468,367.33846153846156
ret10,过去10日涨幅,9,20,1040527,2841,0.007713523261558223,-0.008605877868831158,-0.006068031417899672,-12.157410622998253,0.4659456217858835,1.314654541347091,1.1555788868625354,-0.14920334815979003,0.17432430386543274,0.10604212138469515,-0.6035584932325517,0.482146109997183,0.1487120908903468,367.33846153846156
ret10,过去10日涨幅,10,1,1052060,2860,-0.000716055820532698,-0.003199999569915235,-0.0013695574316373955,-7.11524523021119,0.4510959450981883,1.1363949548685808,0.9581062045321856,-0.0508419893682003,0.051720291376113794,-0.2116478314802599,-0.9786616170903387,-0.5224880378659572,-0.1787095123664923,367.8531468531468
ret10,过去10日涨幅,10,5,1049932,2856,-0.0021658384679633515,-0.010344794020056725,-0.005617258764719218,-14.530533156778711,0.4358615605582076,1.2034607159274175,0.9397256075785747,-0.10681510642170905,0.10439537540078167,-0.2116478314802599,-0.9786616170903387,-0.5224880378659572,-0.1787095123664923,367.8531468531468
ret10,过去10日涨幅,10,10,1047272,2851,-0.002154455717515688,-0.015053757466375828,-0.009227029148199778,-17.18748358404433,0.43434274954357605,1.2352913877943223,0.9555445076872389,-0.14252340644598008,0.1428571194410324,-0.2116478314802599,-0.9786616170903387,-0.5224880378659572,-0.1787095123664923,367.8531468531468
ret10,过去10日涨幅,10,20,1041975,2841,-0.0011635456554082318,-0.025210140272974968,-0.015450396116867805,-20.24351527898094,0.42371937906379714,1.3296336968068079,0.9823620691935636,-0.18974013328552244,0.20263194143772123,-0.2116478314802599,-0.9786616170903387,-0.5224880378659572,-0.1787095123664923,367.8531468531468
ret20,过去20日涨幅,1,1,1046761,2850,0.0009074429583424531,0.0,0.0003618369096785901,2.5738613301630897,0.4913862858856988,1.0769735252330395,1.0849381699784701,-0.03247859701514244,0.03458646684885025,0.2153268042208365,-0.5498475666492364,0.7197809031039184,0.26125760706262197,367.28456140350875
ret20,过去20日涨幅,1,5,1044644,2846,0.004209016290452887,-0.0005979654961265624,0.00120876932434463,3.774665193276806,0.4898577888735301,1.2069341640522315,1.1786971387937009,-0.07215478122234345,0.0837438777089119,0.2153268042208365,-0.5498475666492364,0.7197809031039184,0.26125760706262197,367.28456140350875
ret20,过去20日涨幅,1,10,1042002,2841,0.007569575797649182,-0.0011973283253610134,0.0013753451897922135,3.244430846354082,0.49022842566520985,1.2658180452582992,1.2315889574047252,-0.1005681425333023,0.1223327159881592,0.2153268042208365,-0.5498475666492364,0.7197809031039184,0.26125760706262197,367.28456140350875
