dim,dim_cn,decile,H,n,gross,exw,t
vt_5_20,量能趋势,4,10,1043659,0.006840953137725592,0.0012343759881332517,9.880789615936
vt_5_20,量能趋势,4,20,1038364,0.012743305414915085,0.0017839327920228243,9.971513154212918
vt_5_20,量能趋势,4,60,1017276,0.031549423933029175,0.0029049001168459654,9.867294627299641
vt_5_20,量能趋势,5,5,1045986,0.0037535354495048523,0.0009282386745326221,11.543484807567099
vt_5_20,量能趋势,5,10,1043340,0.007143616210669279,0.0015843060100451112,13.947358212543307
vt_5_20,量能趋势,5,20,1038039,0.013233184814453125,0.002331370487809181,14.047695256713746
vt_5_20,量能趋势,5,60,1016954,0.03186088055372238,0.00358787109144032,13.13882766769717
vt_5_20,量能趋势,6,5,1046841,0.003752088872715831,0.0009707928984425962,11.81929253192132
vt_5_20,量能趋势,6,10,1044193,0.00717389490455389,0.001702476991340518,14.37565322751607
vt_5_20,量能趋势,6,20,1038893,0.013248368166387081,0.0023876060731709003,14.476754814341744
vt_5_20,量能趋势,6,60,1017792,0.03148594871163368,0.0033656549639999866,11.87441064902987
vt_5_20,量能趋势,7,5,1046560,0.0036753681488335133,0.0008613904356025159,9.777967701670077
vt_5_20,量能趋势,7,10,1043908,0.006919777952134609,0.0013130526058375835,10.653453069320626
vt_5_20,量能趋势,7,20,1038620,0.012694492004811764,0.0016251977067440748,8.831940601081843
vt_5_20,量能趋势,7,60,1017528,0.03041653521358967,0.0022529405541718006,6.99969841041329
vt_5_20,量能趋势,8,5,1046292,0.0035090146120637655,0.0006327200680971146,6.167610959846234
vt_5_20,量能趋势,8,10,1043640,0.006438669748604298,0.0007775320555083454,5.306585013351094
vt_5_20,量能趋势,8,20,1038352,0.011996467597782612,0.0008944182191044092,3.994870580532334
vt_5_20,量能趋势,8,60,1017257,0.028924940153956413,0.0007889625267125666,2.140005086911641
vt_5_20,量能趋势,9,5,1046534,0.0028910727705806494,-0.00011574361269595101,-0.8293511754460785
vt_5_20,量能趋势,9,10,1043878,0.005397984758019447,-0.0004994323244318366,-2.5779294500282517
vt_5_20,量能趋势,9,20,1038599,0.010367472656071186,-0.0011580773862078786,-4.034503789642074
vt_5_20,量能趋势,9,60,1017493,0.026045309379696846,-0.0026523589622229338,-6.444380231101244
vt_5_20,量能趋势,10,5,1047965,-0.0004593089397531003,-0.0036913948133587837,-14.574298390584538
vt_5_20,量能趋势,10,10,1045315,0.0002803168317768723,-0.006055061239749193,-18.605277334408417
vt_5_20,量能趋势,10,20,1040018,0.003694571554660797,-0.008734561502933502,-18.8496721752942
vt_5_20,量能趋势,10,60,1018896,0.016517629846930504,-0.013261160813272,-22.559605883114873
ret5,过去5日涨幅,1,5,1047883,0.0027991649694740772,-0.00017007878341246396,-0.5540649994084573
ret5,过去5日涨幅,1,10,1045246,0.004548252560198307,-0.001312610344029963,-3.1069900453877897
ret5,过去5日涨幅,1,20,1039966,0.009951605461537838,-0.0014514554059132934,-2.5845456676781327
ret5,过去5日涨幅,1,60,1018872,0.025734785944223404,-0.004448567982763052,-5.637818453907153
ret5,过去5日涨幅,2,5,1049254,0.0035843076184391975,0.0008351615397259593,4.277578358619842
ret5,过去5日涨幅,2,10,1046607,0.006414896808564663,0.0009704263065941632,3.5429209474370897
ret5,过去5日涨幅,2,20,1041311,0.012952171266078949,0.0018391079502180219,5.01029067335585
ret5,过去5日涨幅,2,60,1020245,0.03273535147309303,0.0027592696715146303,4.807584484677294
ret5,过去5日涨幅,3,5,1049718,0.0037269259337335825,0.0009574100258760154,6.382976806646764
ret5,过去5日涨幅,3,10,1047070,0.006990378722548485,0.0016265823505818844,7.630096029561627
ret5,过去5日涨幅,3,20,1041780,0.013706015422940254,0.0026532053016126156,9.086294572492136
ret5,过去5日涨幅,3,60,1020659,0.03441038355231285,0.004758933559060097,10.584663764138313
ret5,过去5日涨幅,4,5,1049442,0.003862969344481826,0.0011097081005573273,9.00135184106493
ret5,过去5日涨幅,4,10,1046794,0.007120450958609581,0.0017344148363918066,9.776587412502586
ret5,过去5日涨幅,4,20,1041495,0.013806330971419811,0.002889715600758791,11.650361754305044
ret5,过去5日涨幅,4,60,1020470,0.03459152206778526,0.005194527562707663,13.899475418784522
ret5,过去5日涨幅,5,5,1048896,0.0038342394400388002,0.001050267368555069,9.251247178979083
ret5,过去5日涨幅,5,10,1046249,0.007258962839841843,0.0018222020007669926,11.385671607479553
ret5,过去5日涨幅,5,20,1040971,0.013934657908976078,0.0029319548048079014,13.12066044486639
ret5,过去5日涨幅,5,60,1019839,0.034550368785858154,0.00517833000048995,15.469940881845128
ret5,过去5日涨幅,6,5,1049844,0.003851690562441945,0.000982962315902114,8.872621761975461
ret5,过去5日涨幅,6,10,1047191,0.007245562504976988,0.0017010796582326293,11.009156598144775
ret5,过去5日涨幅,6,20,1041885,0.013786526396870613,0.002732754684984684,12.430179949436033
