entry,exit,seg,n,mean,win,exw,t
EN4_柱连3日改善,XA_固定持有5日,验证2023-2024,1122433,0.000103769017292986,0.4444951279942767,-0.001073102031371416,-2.4215372058831544
EN4_柱连3日改善,XA_固定持有5日,测试2025-2026,1094350,0.005777459722957923,0.4974870927948097,-0.00044092125950492145,-1.4150105617047066
EN4_柱连3日改善,XA_固定持有10日,训练2015-2022,3011840,0.004501177508682667,0.494508672439439,-0.0024560852266289753,-8.475132109347012
EN4_柱连3日改善,XA_固定持有10日,验证2023-2024,1122433,0.0029768521380611384,0.4562722229300101,-0.0008412247221850445,-1.4050571197226958
EN4_柱连3日改善,XA_固定持有10日,测试2025-2026,1084624,0.012327426700173673,0.5213659295755949,-0.0008107487828617915,-1.8224790014623904
EN4_柱连3日改善,XA_固定持有20日,训练2015-2022,3011840,0.010139034552352705,0.4931659716319592,-0.0033681190063452483,-9.042929631195843
EN4_柱连3日改善,XA_固定持有20日,验证2023-2024,1122433,0.008150516224919241,0.4558686353662089,-0.001913788105082853,-2.654155449974629
EN4_柱连3日改善,XA_固定持有20日,测试2025-2026,1062493,0.023371286613168406,0.5417522750738123,-0.0011605626911935156,-1.892159623930007
EN4_柱连3日改善,XA_固定持有30日,训练2015-2022,3011840,0.013700773487031035,0.48324578994900125,-0.004331146289512698,-10.0039351666346
EN4_柱连3日改善,XA_固定持有30日,验证2023-2024,1122433,0.00992457240687628,0.43542019880028476,-0.001542044196229061,-1.8295686869242438
EN4_柱连3日改善,XA_固定持有30日,测试2025-2026,1045114,0.03201483039682917,0.5379231356579283,-0.0012124632785880701,-1.611445187776136
EN4_柱连3日改善,XA_固定持有40日,训练2015-2022,3011840,0.018841063630231254,0.47423667923926904,-0.004163363589604506,-9.756002150251483
EN4_柱连3日改善,XA_固定持有40日,验证2023-2024,1122433,0.01607114643053462,0.4369472387215985,-0.0010499930246207314,-1.2100249661636375
EN4_柱连3日改善,XA_固定持有40日,测试2025-2026,1005034,0.0384853899623375,0.5283701844912709,-0.0006393897876359877,-0.8252818249930203
EN4_柱连3日改善,XA_固定持有60日,训练2015-2022,3011840,0.02567862064704044,0.46165533361665956,-0.004968266092447719,-10.750070368952406
EN4_柱连3日改善,XA_固定持有60日,验证2023-2024,1122433,0.028707757626864894,0.4477211557393626,-0.0023482415385664124,-2.234303880716002
EN4_柱连3日改善,XA_固定持有60日,测试2025-2026,954888,0.04706259424112873,0.5083758514087516,-0.00269814383351511,-3.1456070595954726
EN4_柱连3日改善,XB_跌破MA20,训练2015-2022,3011840,0.0031197794991537583,0.36399709147896303,-0.007868590469468922,-5.250538494968614
EN4_柱连3日改善,XB_跌破MA20,验证2023-2024,1122433,0.002751624539753378,0.34862125400803434,-0.006339226040097515,-2.104790102266933
EN4_柱连3日改善,XB_跌破MA20,测试2025-2026,1061147,0.005805778982712563,0.3716638693790775,-0.016617437924573375,-6.967964503715146
EN4_柱连3日改善,XC_跌破MA60,训练2015-2022,3011840,0.0017411099488657677,0.3752310879728007,-0.009358466506472969,-5.044796472256706
EN4_柱连3日改善,XC_跌破MA60,验证2023-2024,1122433,-0.002110444191587473,0.34801275443612223,-0.01125350806283878,-3.7918448570386345
EN4_柱连3日改善,XC_跌破MA60,测试2025-2026,1057581,0.0059854886739686254,0.37902061402389037,-0.0158961122282332,-6.81053868408745
EN4_柱连3日改善,XD_ATR2倍止损,训练2015-2022,3011840,0.010309569204976122,0.3095164417764556,-0.0034242719393214405,-1.4068864719061973
EN4_柱连3日改善,XD_ATR2倍止损,验证2023-2024,1122433,0.0066060455580475965,0.2635097150564889,-0.003768635546439554,-1.1120938207038649
EN4_柱连3日改善,XD_ATR2倍止损,测试2025-2026,985649,0.021845615635577895,0.3326457998739917,-0.01099909432271685,-3.0077928585930462
EN4_柱连3日改善,XD_ATR3倍止损,训练2015-2022,3011840,0.012262659930275126,0.3770635226306842,-0.0022573345039530344,-0.8434680994263327
EN4_柱连3日改善,XD_ATR3倍止损,验证2023-2024,1122433,0.011442306058006457,0.33946970554144434,0.00012737027223454935,0.030121596909755688
EN4_柱连3日改善,XD_ATR3倍止损,测试2025-2026,969540,0.0274944076054899,0.411461105266415,-0.012095770495653848,-2.717556408756851
EN4_柱连3日改善,XE_固定止损-5%,训练2015-2022,3011840,0.009110387828262895,0.2506750026561836,-0.0033804481912672974,-1.5551121914994626
EN4_柱连3日改善,XE_固定止损-5%,验证2023-2024,1122433,0.004458829320147494,0.21121884335189717,-0.004877749465152857,-1.752812851754389
EN4_柱连3日改善,XE_固定止损-5%,测试2025-2026,1012415,0.018817660163141296,0.2747450403243729,-0.007507612976553744,-2.5106908894060087
EN4_柱连3日改善,XE_固定止损-8%,训练2015-2022,3011840,0.011045848613899081,0.32487084307267317,-0.002397415042957513,-0.9951762002763961
EN4_柱连3日改善,XE_固定止损-8%,验证2023-2024,1122433,0.007726389047886952,0.2897250882680748,-0.0026061695931463777,-0.7519868000321329
EN4_柱连3日改善,XE_固定止损-8%,测试2025-2026,995321,0.023922208736072596,0.3576373853259401,-0.006103873093909863,-1.7249620926783484
EN4_柱连3日改善,XE_固定止损-10%,训练2015-2022,3011840,0.012143378260238312,0.3613840708669783,-0.0019491459825740807,-0.7683242313349595
EN4_柱连3日改善,XE_固定止损-10%,验证2023-2024,1122433,0.010083087305011888,0.3321071279978404,-0.0006776717546816803,-0.1720887993121364
EN4_柱连3日改善,XE_固定止损-10%,测试2025-2026,986566,0.026474385390408302,0.3970895003476706,-0.00617364890260053,-1.59645679953638
EN4_柱连3日改善,XE_固定止损-15%,训练2015-2022,3011840,0.01461684049641218,0.4177579154271143,-0.0008222966880801724,-0.2974200602128877
EN4_柱连3日改善,XE_固定止损-15%,验证2023-2024,1122433,0.013921567054255048,0.39670786585925394,0.0019854686523559885,0.41363899054661435
EN4_柱连3日改善,XE_固定止损-15%,测试2025-2026,971708,0.03218040585660873,0.45804295117463273,-0.006867417785060693,-1.496069975550528
EN4_柱连3日改善,XF_移动止盈8%,训练2015-2022,3011840,0.004802442428416957,0.3596044278580535,-0.005925257846677866,-4.067309331875617
EN4_柱连3日改善,XF_移动止盈8%,验证2023-2024,1122433,-0.001928869675168919,0.3251080465381898,-0.009549463676032066,-4.521533034757632
EN4_柱连3日改善,XF_移动止盈8%,测试2025-2026,1046452,0.02361023418215033,0.42769376904052936,-0.0014554019920214078,-0.7859069924653626
EN4_柱连3日改善,XF_移动止盈12%,训练2015-2022,3011840,0.010895374977417563,0.3816534078835529,-0.00010242228682707716,-0.058243700784270415
EN4_柱连3日改善,XF_移动止盈12%,验证2023-2024,1122433,-0.0009776260937555765,0.35587335725161323,-0.009461116665194395,-4.144230621053823
EN4_柱连3日改善,XF_移动止盈12%,测试2025-2026,1017003,0.029080655926124164,0.4373025448302512,0.0027238562253694004,1.101368237036372
EN4_柱连3日改善,XG_MACD死叉,训练2015-2022,3011840,0.009049277748698016,0.3923684525074373,-0.0032087163722279233,-2.8296332126024386
EN4_柱连3日改善,XG_MACD死叉,验证2023-2024,1122433,0.007904522075940059,0.35874836181758735,-0.0007895003790005116,-0.39105933217729755
EN4_柱连3日改善,XG_MACD死叉,测试2025-2026,1056676,0.02170682449199999,0.43735638928110415,-0.002792518022589175,-1.7972575487418738
EN4_柱连3日改善,XH_hist连3日降,训练2015-2022,3011840,0.0036677768841536784,0.4140488870590735,-0.007963762106266828,-5.2528765261755135
EN4_柱连3日改善,XH_hist连3日降,验证2023-2024,1122433,-0.00032078656136515894,0.3718912398334689,-0.007422278649035737,-2.746613102412346
EN4_柱连3日改善,XH_hist连3日降,测试2025-2026,1062512,0.011703552752126208,0.44430086436670835,-0.011501131445005032,-5.761576641499893
EN5_柱连5日改善,XA_固定持有5日,训练2015-2022,956059,0.001180257714291053,0.4823279734828081,-0.00503891449986288,-11.71366069865135
EN5_柱连5日改善,XA_固定持有5日,验证2023-2024,334551,-0.000502092612998951,0.44036036359179914,-0.004457902219293624,-4.887906420140928
EN5_柱连5日改善,XA_固定持有5日,测试2025-2026,346160,0.007273328180866588,0.5072856482551421,-0.002651004592043849,-3.575560322500494
EN5_柱连5日改善,XA_固定持有10日,训练2015-2022,956059,0.005251063511533,0.5030630954784171,-0.005425729798353691,-9.27431703548157
EN5_柱连5日改善,XA_固定持有10日,验证2023-2024,334551,0.0032985126038896076,0.458707342079384,-0.003533135312559014,-2.825803779954357
EN5_柱连5日改善,XA_固定持有10日,测试2025-2026,344483,0.017388581863821855,0.5455073254703425,-0.0037546325861858914,-3.625138890235497
EN5_柱连5日改善,XA_固定持有20日,训练2015-2022,956059,0.01456359516064242,0.5176720265171919,-0.00641409756123461,-8.997583363177158
EN5_柱连5日改善,XA_固定持有20日,验证2023-2024,334551,0.010597180247433132,0.46961748731882436,-0.005915986235353749,-4.353100657892005
EN5_柱连5日改善,XA_固定持有20日,测试2025-2026,338951,0.028193489852730035,0.5621195984080295,-0.005495081648870653,-3.8421381178889527
EN5_柱连5日改善,XA_固定持有30日,训练2015-2022,956059,0.017629847915108136,0.5056131473057625,-0.008559484326028113,-10.344922279983258
EN5_柱连5日改善,XA_固定持有30日,验证2023-2024,334551,0.011184329065402596,0.44052177395972514,-0.0054085760947948204,-3.515212208323249
EN5_柱连5日改善,XA_固定持有30日,测试2025-2026,332856,0.03759389283483105,0.5571989088374553,-0.005097930754874294,-3.128926956837704
EN5_柱连5日改善,XA_固定持有40日,训练2015-2022,956059,0.023719839093910584,0.49146757679180886,-0.00864975131977309,-10.267022888699609
EN5_柱连5日改善,XA_固定持有40日,验证2023-2024,334551,0.016998135332286415,0.43454959034646434,-0.004643659677846311,-2.788819897713615
EN5_柱连5日改善,XA_固定持有40日,测试2025-2026,311145,0.04215319428180704,0.5425348310273346,-0.00424884286277666,-2.271587857066385
EN5_柱连5日改善,XA_固定持有60日,训练2015-2022,956059,0.031546123399937814,0.47378561364936683,-0.01145937721389703,-11.982595369983486
EN5_柱连5日改善,XA_固定持有60日,验证2023-2024,334551,0.025109872100346185,0.4462279293739968,-0.009188532081168122,-4.468372171529782
EN5_柱连5日改善,XA_固定持有60日,测试2025-2026,301139,0.049596529317315494,0.5171598497703718,-0.006274313653982933,-2.8538540665525804
EN5_柱连5日改善,XB_跌破MA20,训练2015-2022,956059,0.004315683226243455,0.3609693544017681,-0.010231430292406422,-6.983753222865837
