entry,exit,seg,n_sig,cagr,mdd,win,exw,t_exw,n_days
R9_仅超跌+没涨+低波(无缩量),XA_固定持有5日,验证2023-2024,58218,-0.2776384341030814,-0.623231295663317,0.4264705882352941,-0.001730071923306966,-3.8319375914574354,484
R9_仅超跌+没涨+低波(无缩量),XA_固定持有5日,测试2025-2026,43870,-0.3119781617319245,-0.5155687749617356,0.48201438848920863,-0.0024046703293267324,-5.579276768806165,418
R9_仅超跌+没涨+低波(无缩量),XA_固定持有10日,训练2015-2022,120526,-0.23139970867757909,-0.909925700438855,0.4846110800223839,-0.0015141400539560412,-6.847164057174217,1947
R9_仅超跌+没涨+低波(无缩量),XA_固定持有10日,验证2023-2024,58218,-0.12212996477839078,-0.4681057251223474,0.4628099173553719,-0.0009773879450226891,-2.296440894874426,484
R9_仅超跌+没涨+低波(无缩量),XA_固定持有10日,测试2025-2026,43870,-0.07752466685114257,-0.24999622070184369,0.5035971223021583,-0.0012419840930726926,-2.9157759057326573,418
R9_仅超跌+没涨+低波(无缩量),XD_ATR2倍止损,训练2015-2022,120526,-0.23711028803680312,-0.9145564687689445,0.4840514829322888,-0.001546911857637048,-6.960798201937488,1947
R9_仅超跌+没涨+低波(无缩量),XD_ATR2倍止损,验证2023-2024,58218,-0.11051308355431988,-0.453883476521442,0.45661157024793386,-0.000931232883068373,-2.0579820675512646,484
R9_仅超跌+没涨+低波(无缩量),XD_ATR2倍止损,测试2025-2026,43870,-0.09765618620801841,-0.2743271414618277,0.5059952038369304,-0.001331772395748957,-3.0859564903141967,418
R9_仅超跌+没涨+低波(无缩量),XD_ATR3倍止损,训练2015-2022,120526,-0.23171638213029433,-0.9101642793788853,0.485170677112479,-0.0015161533782389236,-6.836488438300295,1947
R9_仅超跌+没涨+低波(无缩量),XD_ATR3倍止损,验证2023-2024,58218,-0.1060929660082357,-0.44919193645199085,0.45661157024793386,-0.000909791037753326,-2.0402467019979422,484
R9_仅超跌+没涨+低波(无缩量),XD_ATR3倍止损,测试2025-2026,43870,-0.08905271569344797,-0.264802581610862,0.5083932853717026,-0.0012933655910372295,-3.0110622559485543,418
