factor,factor_cn,group,decile,n,exw,t
rs_mkt20,相对市场20日强弱,相对强弱,1,1036535,0.0018118100061196394,3.0866900726630315
rs_mkt20,相对市场20日强弱,相对强弱,2,1037940,0.0019821596733944373,4.683911731240143
rs_mkt20,相对市场20日强弱,相对强弱,3,1038236,0.0018274528417287065,5.129006868379429
rs_mkt20,相对市场20日强弱,相对强弱,4,1037958,0.0017158619856719078,5.584159831987423
rs_mkt20,相对市场20日强弱,相对强弱,5,1037694,0.0011812398872574287,4.0102932042821395
rs_mkt20,相对市场20日强弱,相对强弱,6,1038404,0.0004608894052223973,1.5285077897381747
rs_mkt20,相对市场20日强弱,相对强弱,7,1038314,-0.0007392238192134212,-2.2463582756049165
rs_mkt20,相对市场20日强弱,相对强弱,8,1037907,-0.003575762934681379,-9.279171603056113
rs_mkt20,相对市场20日强弱,相对强弱,9,1038200,-0.007825180036593674,-14.932855282128596
rs_mkt20,相对市场20日强弱,相对强弱,10,1039602,-0.01624521395371319,-19.42834238741191
rs_mkt60,相对市场60日强弱,相对强弱,1,1027813,0.0021992227334733175,3.5285883708175905
rs_mkt60,相对市场60日强弱,相对强弱,2,1029219,0.001196828592052338,2.7532326313863003
rs_mkt60,相对市场60日强弱,相对强弱,3,1029474,0.0006081162907146709,1.635405874855467
rs_mkt60,相对市场60日强弱,相对强弱,4,1029207,0.0001603753774521212,0.5082791416742773
rs_mkt60,相对市场60日强弱,相对强弱,5,1028948,-0.00010297341777663291,-0.3495506271450672
rs_mkt60,相对市场60日强弱,相对强弱,6,1029714,-0.0005507376616279219,-1.9599599617916863
rs_mkt60,相对市场60日强弱,相对强弱,7,1029476,-0.0015872581856008084,-5.325692566726963
rs_mkt60,相对市场60日强弱,相对强弱,8,1029241,-0.0035419203066578042,-9.859106833893472
rs_mkt60,相对市场60日强弱,相对强弱,9,1029450,-0.0065667719664710845,-12.440919807240862
rs_mkt60,相对市场60日强弱,相对强弱,10,1030852,-0.013898813207056833,-15.482135049487873
rs_sz20,相对同规模20日强弱,相对强弱,1,1032942,0.00353231061023391,6.416265840899615
rs_sz20,相对同规模20日强弱,相对强弱,2,1034348,0.0029635109942238403,7.3319799591906
rs_sz20,相对同规模20日强弱,相对强弱,3,1034616,0.002306118406218693,6.650571249352094
rs_sz20,相对同规模20日强弱,相对强弱,4,1034372,0.0019416813737504139,6.273589298714768
rs_sz20,相对同规模20日强弱,相对强弱,5,1034043,0.001095587267381548,3.854311993352312
rs_sz20,相对同规模20日强弱,相对强弱,6,1034901,-0.0002927973946770756,-0.9638507273528414
rs_sz20,相对同规模20日强弱,相对强弱,7,1034619,-0.0018115793060308467,-5.453699439348896
rs_sz20,相对同规模20日强弱,相对强弱,8,1034350,-0.004383751701567936,-11.470391444768968
rs_sz20,相对同规模20日强弱,相对强弱,9,1034597,-0.00877397229997375,-16.964071331669018
rs_sz20,相对同规模20日强弱,相对强弱,10,1035998,-0.017316098286809644,-21.108967224233893
hv20,20日历史波动,波动,1,1036701,-0.0035933770055126824,-4.623678066334163
hv20,20日历史波动,波动,2,1038134,-0.0011182613822960817,-2.1986588391507977
hv20,20日历史波动,波动,3,1038384,0.00036006966886571815,0.9079358075811255
hv20,20日历史波动,波动,4,1038154,0.001569632308230737,4.9945103725443625
hv20,20日历史波动,波动,5,1037825,0.0009956452808954142,3.6498791661252814
hv20,20日历史波动,波动,6,1038667,0.0011464933617604189,4.4522866843808
hv20,20日历史波动,波动,7,1038401,5.656763084942179e-05,0.17763969938132773
hv20,20日历史波动,波动,8,1038127,-0.0021359203434015792,-5.505246304367885
hv20,20日历史波动,波动,9,1038394,-0.004672761462753492,-8.917170817839374
hv20,20日历史波动,波动,10,1039794,-0.011988464977424743,-14.24389405475343
atr_pct,ATR占比,波动,1,1038002,-0.00401736761274218,-4.979407340942014
atr_pct,ATR占比,波动,2,1039433,-0.0015926147962885097,-2.933654453021993
atr_pct,ATR占比,波动,3,1039686,0.0002941799272711832,0.7210452046714787
atr_pct,ATR占比,波动,4,1039452,0.0009315950329206224,2.831229384291503
atr_pct,ATR占比,波动,5,1039120,0.0006749233565249376,2.4272410137709266
atr_pct,ATR占比,波动,6,1039995,0.0006568338964844345,2.430879601252374
atr_pct,ATR占比,波动,7,1039688,-0.0007044106620952942,-2.248061508839178
atr_pct,ATR占比,波动,8,1039442,-0.001857034994317565,-4.514850689465537
atr_pct,ATR占比,波动,9,1039684,-0.0030160025188446884,-5.272506246668668
atr_pct,ATR占比,波动,10,1041114,-0.010326010930762276,-11.967044683905673
m_above60,市场距MA60,市场(无截面),6,10307101,-0.0021115704941613227,-11.010255427240615
m_ma20v60,市场MA20/MA60-1,市场(无截面),6,10307101,-0.0021115704941613227,-11.010255427240615
breadth,Breadth,市场(无截面),6,10423834,-0.0017950492715454436,-9.302923553117367
mhv20,市场HV20,市场(无截面),6,10386463,-0.0019026934326461277,-9.877103011414807
